species,date,time
person,2025-02-21,10:43:26
person,2025-02-21,11:53:22
person,2025-02-21,12:14:15
tv,2025-02-21,10:39:28
person,2025-02-21,10:41:48
person,2025-02-21,11:59:46
chair,2025-02-21,12:55:40
chair,2025-02-21,12:15:35
person,2025-02-21,10:42:09
person,2025-02-21,12:14:58
tv,2025-02-21,10:38:13
person,2025-02-21,12:15:17
person,2025-02-21,12:51:05
person,2025-02-21,12:11:05
chair,2025-02-21,11:56:53
person,2025-02-21,11:56:53
chair,2025-02-21,12:06:48
person,2025-02-21,10:43:44
person,2025-02-21,10:44:48
person,2025-02-21,11:54:53
person,2025-02-21,10:42:28
tv,2025-02-21,10:38:50
tv,2025-02-21,10:38:32
tv,2025-02-21,10:40:32
chair,2025-02-21,12:10:11
laptop,2025-02-21,11:53:43
person,2025-02-21,10:43:06
person,2025-02-21,11:55:50
person,2025-02-21,10:42:48
person,2025-02-21,10:44:05
person,2025-02-21,12:09:10
laptop,2025-02-21,11:57:12
person,2025-02-21,11:57:12
laptop,2025-02-21,12:00:09
tv,2025-02-21,10:39:50
tv,2025-02-21,10:40:11
tv,2025-02-21,10:40:52
person,2025-02-21,11:56:29
person,2025-02-21,10:41:11
person,2025-02-21,12:06:25
person,2025-02-21,12:44:59
tv,2025-02-21,10:39:09
person,2025-02-21,12:43:28
person,2025-02-21,10:44:27
chair,2025-02-21,12:50:34
chair,2025-02-21,12:40:32
person,2025-02-21,12:14:38
person,2025-02-20,12:12:17
person,2025-02-20,13:48:53
person,2025-02-20,15:56:43
person,2025-02-20,13:47:51
person,2025-02-20,16:16:50
chair,2025-02-20,11:31:07
person,2025-02-20,15:57:51
chair,2025-02-20,11:30:30
person,2025-02-20,11:30:30
person,2025-02-20,16:25:48
chair,2025-02-20,11:29:30
person,2025-02-20,16:27:50
chair,2025-02-20,12:11:26
person,2025-02-20,12:09:21
person,2025-02-20,16:17:08
person,2025-02-20,12:10:09
person,2025-02-20,12:10:54
person,2025-02-20,12:10:38
person,2025-02-20,13:46:37
person,2025-02-20,16:40:55
tv,2025-02-20,15:57:31
person,2025-02-20,16:41:36
person,2025-02-20,15:57:04
person,2025-02-20,11:28:44
chair,2025-02-20,11:30:07
person,2025-02-20,13:47:11
person,2025-02-20,11:17:13
person,2025-02-20,13:48:33
person,2025-02-20,16:44:24
person,2025-02-20,13:48:14
person,2025-02-20,15:58:15
person,2025-02-20,16:33:39
person,2025-02-20,12:09:36
person,2025-02-20,11:17:29
person,2025-02-20,12:12:02
person,2025-02-20,16:44:42
person,2025-02-20,16:25:27
person,2025-02-20,12:09:55
person,2025-02-20,16:31:39
person,2025-02-20,16:44:05
chair,2025-02-20,11:30:48
person,2025-02-20,13:47:30
person,2025-02-20,16:26:29
person,2025-02-20,12:11:11
person,2025-02-20,16:34:01
person,2025-02-20,15:56:22
person,2025-02-20,12:10:25
person,2025-02-20,16:30:32
person,2025-02-20,16:45:40
chair,2025-02-20,11:29:49
person,2025-02-20,16:46:21
person,2025-02-20,16:17:27
